FUNC __main__.calculate_Julia_set 97.0469 1773206599.2832 104.8047 1773206599.9503 0
CMDLINE /usr/bin/python3 julia1.py
MEM 4.476562 1773206599.0439
MEM 35.855469 1773206599.1443
MEM 79.882812 1773206599.2446
MEM 104.804688 1773206599.3450
MEM 104.804688 1773206599.4453
MEM 104.804688 1773206599.5455
MEM 104.804688 1773206599.6458
MEM 104.804688 1773206599.7462
MEM 104.804688 1773206599.8465
MEM 104.804688 1773206599.9468
