FUNC __main__.calculate_Julia_set 121.3086 1776644591.5308 128.9414 1776644591.8988 1
FUNC __main__.build_Julia_set 44.6641 1776644591.4434 54.4258 1776644591.9095 0
CMDLINE /usr/bin/python3 memory_julia1_sleep.py
MEM 0.007812 1776644591.3119
MEM 38.199219 1776644591.4124
MEM 105.621094 1776644591.5130
MEM 128.941406 1776644591.6135
MEM 128.941406 1776644591.7140
MEM 128.941406 1776644591.8145
MEM 46.792969 1776644591.9150
