FUNC __main__.calculate_Julia_set 121.3516 1776644590.2399 128.9844 1776644590.6050 1
FUNC __main__.build_Julia_set 44.7070 1776644590.1505 54.6094 1776644590.6153 0
CMDLINE /usr/bin/python3 memory_julia1.py
MEM 0.527344 1776644590.0189
MEM 38.320312 1776644590.1195
MEM 104.324219 1776644590.2201
MEM 128.984375 1776644590.3206
MEM 128.984375 1776644590.4212
MEM 128.984375 1776644590.5217
MEM 46.988281 1776644590.6222
